Correct Sentenes,Wrong sentences
මල පිපෙයි.,පිපෙයි මල.
ගඟ ගලයි.,ගලයි ගඟ.
තරු බබළයි.,බබළයි තරු.
කපුටෝ කෑගසති.,කෑගසති කපුටෝ.
මම කමි.,කමි මම.
නුඹ කන්නෙහි.,කන්නෙහි නුඹ.
ඔහු කයි.,කයි ඔහු.
ඇය කයි.,කයි ඇය.
අපි කමු.,කමු අපි.
ඔවුහු කති.,කති ඔවුහු.
මම බොමි.,බොමි මම.
නුඹ බොන්නෙහි.,බොන්නෙහි නුඹ.
ඔහු බොයි.,බොයි ඔහු.
අපි බොමු.,බොමු අපි.
ඔවුහු බොති.,බොති ඔවුහු.
මම යෙමි.,යෙමි මම.
නුඹ යන්නෙහි.,යන්නෙහි නුඹ.
ඔහු යයි.,යයි ඔහු.
අපි යමු.,යමු අපි.
ඔවුහු යති.,යති ඔවුහු.
මම එමි.,එමි මම.
නුඹ එන්නෙහි.,එන්නෙහි නුඹ.
ඇය එයි.,එයි ඇය.
අපි එමු.,එමු අපි.
ඔවුහු එති.,එති ඔවුහු.
මම දකිමි.,දකිමි මම.
නුඹ දක්නෙහි.,දක්නෙහි නුඹ.
ඔහු දකීයි.,දකීයි ඔහු.
අපි දකිමු.,දකිමු අපි.
ඔවුහු දකිති.,දකිති ඔවුහු.
මම කියමි.,කියමි මම.
නුඹ කියන්නෙහි.,කියන්නෙහි නුඹ.
ඇය කියයි.,කියයි ඇය.
අපි කියමු.,කියමු අපි.
ඔවුහු කියති.,කියති ඔවුහු.
මම ගනිමි.,ගනිමි මම.
නුඹ ගනෙහි.,ගනෙහි නුඹ.
ඔහු ගනීයි.,ගනීයි ඔහු.
අපි ගනිමු.,ගනිමු අපි.
ඔවුහු ගනිති.,ගනිති ඔවුහු.
මම දිවෙමි.,දිවෙමි මම.
නුඹ දුවන්නෙහි.,දුවන්නෙහි නුඹ.
ඇය දුවයි.,දුවයි ඇය.
අපි දුවමු.,දුවමු අපි.
ඔවුහු දුවති.,දුවති ඔවුහු.
මම ලියමි.,ලියමි මම.
නුඹ ලියන්නෙහි.,ලියන්නෙහි නුඹ.
ඔහු ලියයි.,ලියයි ඔහු.
අපි ලියමු.,ලියමු අපි.
ඔවුහු ලියති.,ලියති ඔවුහු.
මම දෙමි.,දෙමි මම.
නුඹ දෙන්නෙහි.,දෙන්නෙහි නුඹ.
ඔහු දෙයි.,දෙයි ඔහු.
අපි කැමැත්තෙමු.,කැමැත්තෙමු අපි.
ගින්න නිවෙයි.,නිවෙයි ගින්න.
බෝලය පෙරළෙයි.,පෙරළෙයි බෝලය.
පහන දැල්වෙයි.,දැල්වෙයි පහන.
වීදුරුව බිඳෙයි.,බිඳෙයි වීදුරුව.
ප්‍රතිපල ලැබෙයි.,ලැබෙයි ප්‍රතිපල.
කන්ද උස ය.,උස ය කන්ද.
මම බත් කමි.,බත් මම කමි.
මම තේ බොමි.,තේ මම බොමි.
මම ගමට යෙමි.,ගමට මම යෙමි.
මම ගීයක් ගයමි.,ගීයක් මම ගයමි.
මම පොත ලියමි.,පොත මම ලියමි.
මම මුහුණ සෝදමි.,මුහුණ මම සෝදමි.
මම ඇය දකිමි.,ඇය මම දකිමි.
මම තෑග්ගක් දෙමි.,තෑග්ගක් මම දෙමි.
නුඹ බත් කන්නෙහි.,බත් නුඹ කන්නෙහි.
නුඹ තේ බොන්නෙහි.,තේ නුඹ බොන්නෙහි.
නුඹ ගමට යන්නෙහි.,ගමට නුඹ යන්නෙහි.
නුඹ ගීයක් ගයන්නෙහි.,ගීයක් නුඹ ගයන්නෙහි.
නුඹ පොත ලියන්නෙහි.,පොත නුඹ ලියන්නෙහි.
නුඹ නිවැරදි කරෙහි.,නිවැරදි නුඹ කරෙහි.
නුඹ ඇය දක්නෙහි.,ඇය නුඹ දක්නෙහි.
ඔහු බත් කයි.,බත් ඔහු කයි.
ඇය තේ බොයි.,තේ ඇය බොයි.
ඔහු ගමට යයි.,ගමට ඔහු යයි.
ඇය ගීයක් ගයයි.,ගීයක් ඇය ගයයි.
ඔහු පොත ලියයි.,පොත ඔහු ලියයි.
ඇය නිවැරදි කරයි.,නිවැරදි ඇය කරයි.
ඔහු එය දකියි.,එය ඔහු දකියි.
ඇය ඇදේ නිදාගනීයි.,ඇදේ ඇය නිදාගනීයි.
ඔහු ගසකට නගියි.,ගසකට ඔහු නගියි.
ඇය ගමට පැමිණෙයි.,ගමට ඇය පැමිණෙයි.
අපි බත් කමු.,බත් අපි කමු.
අපි තේ බොමු.,තේ අපි බොමු.
අපි ගමට යමු.,ගමට අපි යමු.
අපි ගීයක් ගයමු.,ගීයක් අපි ගයමු.
අපි පොතේ ලියමු.,පොතේ අපි ලියමු.
අපි නිවැරදි කරමු.,නිවැරදි අපි කරමු.
අපි ඔවුන්ව දකිමු.,ඔවුන්ව අපි දකිමු.
අපි තෑග්ගක් දෙමු.,තෑග්ගක් අපි දෙමු.
අපි දැන් නිදාගනිමු.,දැන් අපි නිදාගනිමු.
ඔවුහු බත් කති.,බත් ඔවුහු කති.
ඔවුහු තේ බොති.,තේ ඔවුහු බොති.
ඔවුහු ගමට යති.,ගමට ඔවුහු යති.
ඔවුහු ගීයක් ගයති.,ගීයක් ඔවුහු ගයති.
ඔවුහු පොත ලියති.,පොත ඔවුහු ලියති.
ඔවුහු නිවැරදි කරති.,නිවැරදි ඔවුහු කරති.
ඔවුහු ඇය දකිති.,ඇය ඔවුහු දකිති.
ඔවුහු ඔහුට දෙති.,ඔහුට ඔවුහු දෙති.
ඔවුහු නිදාගනිති.,නිදාගනිති ඔවුහු.
ඔවුහු පැමිණෙති.,පැමිණෙති ඔවුහු.
ගල බිම තිබේ.,බිම ගල තිබේ.
ජලය සිසිල් විය.,සිසිල් විය ජලය.
ගස නිරෝගීව වැඩෙයි,නිරෝගීව ගස වැඩෙයි.
පොත එහි ඇත.,එහි පොත ඇත.
සීතල සමතැන පැතිරෙයි.,සමතැන සීතල පැතිරෙයි.
දොර සුළඟට හැරෙයි.,සුළඟට දොර හැරෙයි.
පාර ඉතා දිගු ය.,ඉතා දිගු ය පාර.
අහස නිල් වෙයි.,නිල් වෙයි අහස.
පැන්සල වැටෙයි.,වැටෙයි පැන්සල.
සවසට හිරු බසීයි.,හිරු සවසට බසීයි.
රාත්‍රියට සඳ පායයි.,සඳ රාත්‍රියට පායයි.
වතුරේ කඩදාසිය පාවෙයි.,කඩදාසිය වතුරේ පාවෙයි.
වැට කැඩී තිබේ.,කැඩී වැට තිබේ.
දුම ඉහළ යයි.,ඉහළ දුම යයි.
විදුලිය විසන්ධි විය.,විසන්ධි විය විදුලිය.
තත්වය වෙනස් විය.,වෙනස් විය තත්වය.
කාලය ගත වෙයි.,ගත වෙයි කාලය.
ප්‍රශ්නය ඇති වෙයි.,ඇති වෙයි ප්‍රශ්නය.
නිවස ලස්සන විය.,ලස්සන විය නිවස.
රූපය මැකී යයි.,මැකී යයි රූපය.
මේසය සවි විය.,සවි විය මේසය.
වැස්ස පටන් ගනී.,පටන් ගනී වැස්ස.
වර්ණය වෙනස් විය.,වෙනස් විය වර්ණය.
පාඩම නිම වෙයි.,නිම වෙයි පාඩම.
නදිය ගලා යයි.,ගලා යයි නදිය.
කාමරය අඳුරු විය.,අඳුරු විය කාමරය.
බිත්තිය කැඩුණේ ය.,කැඩුණේ ය බිත්තිය.
පලතුර ඉදී ඇත.,ඉදී ඇත පලතුර.
රසය වෙනස් විය.,වෙනස් විය රසය.
නිශ්ශබ්දතාව බිඳෙයි.,බිඳෙයි නිශ්ශබ්දතාව.
වාතය සංසරණය වෙයි.,සංසරණය වෙයි වාතය.
ලෝකය පැවතියේ ය.,පැවතියේ ය ලෝකය.
සත්‍යය එළි වෙයි.,එළි වෙයි සත්‍යය.
රහස හෙළි විය.,හෙළි විය රහස.
කවුළුව සුළඟට වැසෙයි.,සුළඟට කවුළුව වැසෙයි.
භාණ්ඩය විකිණෙයි.,විකිණෙයි භාණ්ඩය.
සතුට ඇති විය.,ඇති විය සතුට.
පියාපත කැඩී යයි.,කැඩී යයි පියාපත.
විද්‍යාව දියුණුවෙයි.,දියුණුවෙයි විද්‍යාව.
ඉරණම තීරණය වෙයි.,තීරණය වෙයි ඉරණම.
අපි කෑම කමු.,කෑම අපි කමු.
අපි වැඩ කරමු.,වැඩ අපි කරමු.
අහසේ තරු බබළයි.,තරු බබළයි අහසේ .
නෙලුම් මල උදේට පිපෙයි.,උදේට නෙලුම්  පිපෙයි මල.
ගඟ සෙමෙන් ගලයි.,සෙමෙන් ගලයි ගඟ .
වලාකුළු පාවී එයි.,පාවී වලාකුළු එයි.
ගස සුළඟට පෙරළෙයි.,සුළඟට පෙරළෙයි ගස .
ගස සුළඟට වැනෙයි.,සුළඟට වැනෙයි ගස .
අපි පාසලට යමු.,පාසලට යමු අපි .
ගස්වල මල් පිපෙයි.,මල් පිපෙයි ගස්වල .
සිසිල් සුළඟක් හමයි.,සුළඟක් සිසිල් හමයි.
මම පාසලට යමි.,පාසලට යමි මම.
වසුපැටවා සෙල්ලම් කරයි.,සෙල්ලම් කරයි වසුපැටවා .
වලාකුළු පාවී යයි.,පාවී වලාකුළු යති.
ගඟ සෙමෙන් ගලයි.,සෙමෙන් ගලයි ගඟ .
අම්මා විවේකයෙන් සිටියි.,විවේකයෙන් සිටියි අම්මා .
අක්කා පොතක් කියවයි.,පොතක් කියවයි අක්කා .
ගොවියෝ කුඹුරු කොටති.,කුඹුරු කොටති ගොවියෝ .
මල්ලී සෙල්ලම් කරයි.,සෙල්ලම් මල්ලී කරයි.
හංසයෝ විලේ පීනති.,විලේ පීනති හංසයෝ .
ඔහු ගීත ගයයි.,ගීත ඔහු ගයයි.
ඔහු පොතක් කියවයි.,පොතක් ඔහු කියවයි.
ඔහු රිය පදවයි.,රිය ඔහු පදවයි.
ඔහු ගමට ගියේ ය.,ගමට ඔහු ගියේ ය.
ඔහු බත් කෑවේ ය.,බත් ඔහු කෑවේ ය.
ඔහු ගීත ගැයුවේ ය.,ගීත ඔහු ගැයුවේ ය.
ඔහු පොතක් කියවූයේ ය.,පොතක් ඔහු කියවූයේ ය.
ඔහු රිය පැදවූවේ ය.,රිය ඔහු පැදවූවේ ය.
මල්ලිලා පාසල් ගියෝ ය.,පාසල් මල්ලිලා ගියෝ ය.
නංගිලා ගීත ගැයුවෝ ය.,ගීත නංගිලා ගැයුවෝ ය.
අයියලා පොත් කියෙවුවෝ ය.,පොත් අයියලා කියෙවුවෝ ය.
මාමලා ගමට පැමිණියෝ ය.,ගමට මාමලා පැමිණියෝ ය.
මල්ලිලා පාසල් ගියහ.,පාසල් මල්ලිලා ගියහ.
නංගිලා ගීත ගැයූහ.,ගීත නංගිලා ගැයූහ.
අයියලා පොත් කියවූහ.,පොත් අයියලා කියවූහ.
මාමලා ගමට පැමිණියහ.,ගමට මාමලා පැමිණියහ.
මල්ලී පාසල් ගියේ ය.,පාසල් මල්ලී ගියේ ය.
තාත්තා පලතුරු කෑවේ ය.,පලතුරු තාත්තා කෑවේ ය.
මාමා නිවසට ආවේ ය.,නිවසට මාමා ආවේ ය.
නංගී පාසල් ගියා ය.,පාසල් නංගී ගියා ය.
අම්මා පලතුරු කෑවා ය.,පලතුරු අම්මා කෑවා ය.
නැන්දා නිවසට ආවා ය.,නිවසට නැන්දා ආවා ය.
මාමලා නිවසට ආවෝ ය.,නිවසට මාමලා ආවෝ ය.
නංගිලා පාසල් ගියෝ ය.,පාසල් නංගිලා ගියෝ ය.
අම්මලා පලතුරු කෑවෝ ය.,පලතුරු අම්මලා කෑවෝ ය.
නැන්දලා නිවසට ආවෝ ය.,නිවසට නැන්දලා ආවෝ ය.
පසිඳු ගීතයක් ගැයුවේ ය.,ගීතයක් පසිඳු ගැයුවේ ය.
අම්මා ඇඳුමක් මැසුවා ය.,ඇඳුමක් අම්මා මැසුවා ය.
අයියා පොතක් කියවයි.,පොතක් අයියා කියවයි.
මාමා ගමට ගියේ ය.,ගමට මාමා ගියේ ය.
නැන්දා වැලිතලප සෑදුවා ය.,වැලිතලප නැන්දා සෑදුවා ය.
මල්ලී පාසල් යයි.,පාසල් මල්ලී යයි.
තාත්තා පලතුරු කයි.,පලතුරු තාත්තා කයි.
ගුරුතුමා අපට උගන්වයි.,අපට ගුරුතුමා උගන්වයි.
ගුරුතුමා අපට ඉගැන්වූයේ ය.,අපට ගුරුතුමා ඉගැන්වූයේ ය.
නංගී පාසල් යයි.,සෙමින් මැකී රූප යයි.
අම්මා පලතුරු කයි.,දැන් වැටෙයි වැස්ස .
ගුරුතුමිය අපට උගන්වයි.,දැන් දැල්වෙයි පහන .
ගස සුළඟට වැනුණේ ය.,නිතර ඇසෙයි ශබ්දය .
අප උදෙන්ම අවදි වීමු.,නිතර ඇති සතුට වෙයි.
අප උදේ ආහාරය ගතිමු.,නිතර  දියුණු විද්‍යාව වෙයි.
අප පාසලට ගියෙමු.,හොඳින්  වැඩුණේ ය ගස.
සොහොයුරිය ඇඳුමක් අඳියි.,ඉක්මනින් ගලා ජලය  ගියේ ය.
සොහොයුරිය ඇඳුමක් ඇන්දා ය.,එහි තිබුණේ ය පොත .
අප උදෙන්ම අවදි වූමු.,වේගයෙන් පැතිර සීතල  ගියේ ය.
අපි හැමෝම පාසලට යමු.,ඉබේ විවර දොර විය.
