Sentences,class
මල පිපෙයි.,correct
ගඟ ගලයි.,correct
තරු බබළයි.,correct
කපුටෝ කෑගසති.,correct
මම කමි.,correct
නුඹ කන්නෙහි.,correct
ඔහු කයි.,correct
ඇය කයි.,correct
අපි කමු.,correct
ඔවුහු කති.,correct
මම බොමි.,correct
නුඹ බොන්නෙහි.,correct
ඔහු බොයි.,correct
අපි බොමු.,correct
ඔවුහු බොති.,correct
මම යෙමි.,correct
නුඹ යන්නෙහි.,correct
ඔහු යයි.,correct
අපි යමු.,correct
ඔවුහු යති.,correct
මම එමි.,correct
නුඹ එන්නෙහි.,correct
ඇය එයි.,correct
අපි එමු.,correct
ඔවුහු එති.,correct
මම දකිමි.,correct
නුඹ දක්නෙහි.,correct
ඔහු දකීයි.,correct
අපි දකිමු.,correct
ඔවුහු දකිති.,correct
මම කියමි.,correct
නුඹ කියන්නෙහි.,correct
ඇය කියයි.,correct
අපි කියමු.,correct
ඔවුහු කියති.,correct
මම ගනිමි.,correct
නුඹ ගනෙහි.,correct
ඔහු ගනීයි.,correct
අපි ගනිමු.,correct
ඔවුහු ගනිති.,correct
මම දිවෙමි.,correct
නුඹ දුවන්නෙහි.,correct
ඇය දුවයි.,correct
අපි දුවමු.,correct
ඔවුහු දුවති.,correct
මම ලියමි.,correct
නුඹ ලියන්නෙහි.,correct
ඔහු ලියයි.,correct
අපි ලියමු.,correct
ඔවුහු ලියති.,correct
මම දෙමි.,correct
නුඹ දෙන්නෙහි.,correct
ඔහු දෙයි.,correct
අපි කැමැත්තෙමු.,correct
ගින්න නිවෙයි.,correct
බෝලය පෙරළෙයි.,correct
පහන දැල්වෙයි.,correct
වීදුරුව බිඳෙයි.,correct
ප්‍රතිපල ලැබෙයි.,correct
කන්ද උස ය.,correct
මම බත් කමි.,correct
මම තේ බොමි.,correct
මම ගමට යෙමි.,correct
මම ගීයක් ගයමි.,correct
මම පොත ලියමි.,correct
මම මුහුණ සෝදමි.,correct
මම ඇය දකිමි.,correct
මම තෑග්ගක් දෙමි.,correct
නුඹ බත් කන්නෙහි.,correct
නුඹ තේ බොන්නෙහි.,correct
නුඹ ගමට යන්නෙහි.,correct
නුඹ ගීයක් ගයන්නෙහි.,correct
නුඹ පොත ලියන්නෙහි.,correct
නුඹ නිවැරදි කරෙහි.,correct
නුඹ ඇය දක්නෙහි.,correct
ඔහු බත් කයි.,correct
ඇය තේ බොයි.,correct
ඔහු ගමට යයි.,correct
ඇය ගීයක් ගයයි.,correct
ඔහු පොත ලියයි.,correct
ඇය නිවැරදි කරයි.,correct
ඔහු එය දකියි.,correct
ඇය ඇදේ නිදාගනීයි.,correct
ඔහු ගසකට නගියි.,correct
ඇය ගමට පැමිණෙයි.,correct
අපි බත් කමු.,correct
අපි තේ බොමු.,correct
අපි ගමට යමු.,correct
අපි ගීයක් ගයමු.,correct
අපි පොතේ ලියමු.,correct
අපි නිවැරදි කරමු.,correct
අපි ඔවුන්ව දකිමු.,correct
අපි තෑග්ගක් දෙමු.,correct
අපි දැන් නිදාගනිමු.,correct
ඔවුහු බත් කති.,correct
ඔවුහු තේ බොති.,correct
ඔවුහු ගමට යති.,correct
